"","source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"11","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","20","20","KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","KANSAS","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","254,000",NA
"12","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","21","21","KY","KENTUCKY",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","KENTUCKY","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","73,000",NA
"13","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","23","23","ME","MAINE",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MAINE","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","5,000",NA
"14","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","24","24","MD","MARYLAND",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MARYLAND","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","85,000",NA
"15","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","26","26","MI","MICHIGAN",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MICHIGAN","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","115,000",NA
"16","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","27","27","MN","MINNESOTA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MINNESOTA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","1,252,000",NA
"17","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","29","29","MO","MISSOURI",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MISSOURI","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","80,000",NA
"18","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","30","30","MT","MONTANA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MONTANA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","852,000",NA
"19","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","31","31","NE","NEBRASKA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","NEBRASKA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","310,000",NA
"20","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","32","32","NV","NEVADA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","NEVADA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","24,000",NA
"21","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","34","34","NJ","NEW JERSEY",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","NEW JERSEY","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","20,000",NA
"22","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","35","35","NM","NEW MEXICO",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","NEW MEXICO","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","27,000",NA
"23","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","36","36","NY","NEW YORK",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","NEW YORK","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","81,000",NA
"24","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","37","37","NC","NORTH CAROLINA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","NORTH CAROLINA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","35,000",NA
"25","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","38","38","ND","NORTH DAKOTA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","NORTH DAKOTA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","2,146,000",NA
"26","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","39","39","OH","OHIO",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","OHIO","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","26,000",NA
"27","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","40","40","OK","OKLAHOMA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","OKLAHOMA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","52,000",NA
"28","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","41","41","OR","OREGON",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","OREGON","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","337,000",NA
"29","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","42","42","PA","PENNSYLVANIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","PENNSYLVANIA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","182,000",NA
"30","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","45","45","SC","SOUTH CAROLINA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","SOUTH CAROLINA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","18,000",NA
"31","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","46","46","SD","SOUTH DAKOTA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","SOUTH DAKOTA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","1,148,000",NA
"32","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","47","47","TN","TENNESSEE",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","TENNESSEE","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","64,000",NA
"33","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","48","48","TX","TEXAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","TEXAS","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","125,000",NA
"34","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","49","49","UT","UTAH",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","UTAH","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","141,000",NA
"35","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","50","50","VT","VERMONT",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","VERMONT","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","1,000",NA
"36","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","51","51","VA","VIRGINIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","VIRGINIA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","89,000",NA
"37","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","53","53","WA","WASHINGTON",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","WASHINGTON","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","254,000",NA
"38","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","54","54","WV","WEST VIRGINIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","WEST VIRGINIA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","14,000",NA
"39","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","55","55","WI","WISCONSIN",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","WISCONSIN","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","219,000",NA
"40","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA HARVESTED","ACRES","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","STATE","56","56","WY","WYOMING",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","WYOMING","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","151,000",NA
"41","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","04","04","AZ","ARIZONA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ARIZONA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","191,000",NA
"42","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","05","05","AR","ARKANSAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ARKANSAS","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","7,000",NA
"43","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","06","06","CA","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","CALIFORNIA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","2,044,000",NA
"44","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","08","08","CO","COLORADO",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","COLORADO","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","822,000",NA
"45","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","10","10","DE","DELAWARE",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","DELAWARE","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","16,000",NA
"46","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","13","13","GA","GEORGIA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","GEORGIA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","6,000",NA
"47","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","16","16","ID","IDAHO",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","IDAHO","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","438,000",NA
"48","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","17","17","IL","ILLINOIS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","ILLINOIS","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","44,000",NA
"49","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","18","18","IN","INDIANA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","INDIANA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","26,000",NA
"50","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","IOWA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","53,000",NA
"51","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","20","20","KS","KANSAS",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","KANSAS","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","636,000",NA
"52","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","21","21","KY","KENTUCKY",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","KENTUCKY","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","113,000",NA
"53","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","23","23","ME","MAINE",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MAINE","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","5,000",NA
"54","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","24","24","MD","MARYLAND",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MARYLAND","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","88,000",NA
"55","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","26","26","MI","MICHIGAN",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MICHIGAN","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","116,000",NA
"56","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","27","27","MN","MINNESOTA",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MINNESOTA","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","1,283,000",NA
"57","SURVEY","CROPS","FIELD CROPS","BARLEY","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","AREA PLANTED","ACRES","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","STATE","29","29","MO","MISSOURI",NA,NA,NA,NA,NA,NA,NA,"00000000",NA,NA,"9000","UNITED STATES","MISSOURI","1950","ANNUAL","00","00","YEAR",NA,"2012-01-01 00:00:00.000","97,000",NA
